Name	Another name	Abbr.	Commercial name		Type	Km Hki	Code	Section	Municipality	Traffic control		Private sidings	Shunting	Latitude	Longitude
Helsinki asema	Helsingfors	Hki	Helsinki		Liikennepaikan osa	0+159	00001		Helsinki				K	60.171356	24.941444
Pasila asema	Böle	Psl	Pasila		Liikennepaikan osa	3+230	00010		Helsinki					60.198689	24.933521
Pasila autojuna-asema	Böle biltågstation	Pau			Liikennepaikan osa	4+319	01328		Helsinki				K	60.208303	24.933169
Ilmala asema		Ila	Ilmala		Liikennepaikan osa	4+434	00009		Helsinki					60.207808	24.920829
Helsinki Kivihaka	Stenhagen	Khk			Liikennepaikan osa	4+701	01028		Helsinki					60.209813	24.917191
Pasila tavara		Pslt			Liikennepaikan osa	4+748	01034		Helsinki			K	K	60.212086	24.934411
Ilmala ratapiha		Ilr			Liikennepaikan osa	4+950	01030		Helsinki			K	K	60.21312	24.928154
Helsinki Louhenpuisto		Lop			Liikennepaikan osa	4+390	01370		Helsinki					60.20884	24.93398
Käpylä	Kottby	Käp			Liikennepaikan osa	5+840	00977		Helsinki					60.22017	24.946034
Oulunkylä	Åggelby	Olk			Liikennepaikan osa	7+399	00015		Helsinki					60.229	24.967676
Helsinki Veräjälaakso		Vrj			Liikennepaikan osa	7+880	01371		Helsinki					60.231999	24.973708
Henna		Hnn			Liikennepaikka	79+373	01164	Kerava–Hakosilta	Orimattila	K				60.799132	25.494389
Herrala		Hr			Seisake	115+790	00096	Riihimäki–Kouvola	Hollola					60.896944	25.475624
Hiirola		Hir			Liikennepaikka	318+957	00997	Kouvola–Pieksämäki	Mikkeli	K			K	61.808118	27.315826
Hikiä		Hk			Seisake	79+743	00091	Riihimäki–Kouvola	Hausjärvi					60.752588	24.919201
Hillosensalmi		Hls			Liikennepaikka	233+344	00988	Kouvola–Pieksämäki	Kouvola	K				61.193088	26.789163
Hirvineva		Hvn			Liikennepaikka	715+500	01041	Seinäjoki–Oulu	Liminka	K			K	64.733984	25.227499
Humppila		Hp			Liikennepaikka	188+778	00144	Toijala–Turku	Humppila	K			K	60.919507	23.362536
Huopalahti	Hoplax	Hpl			Liikennepaikka	6+375	00072	Helsinki–Turku satama, Huopalahti–Havukoski	Helsinki	K				60.21835	24.893523
Huutokoski		Hko			Liikennepaikka	406+988	00430	Pieksämäki–Joensuu, Huutokoski–Savonlinna	Joroinen	K				62.210069	27.68887
