Name	Another name	Abbr.	Commercial name		Type	Km Hki	Code	Section	Municipality	Traffic control		Private sidings	Shunting	Latitude	Longitude
Lahti	Lahtis	Lh			Liikennepaikka	130+170	00100	Riihimäki–Kouvola, Lahti–Heinola, Lahti–Mukkula,	Lahti	K		K	K	60.97647	25.657397
Laihia	Laihela	Lai			Liikennepaikka	468+916	00293	Seinäjoki–Vaasa	Laihia	K			K	62.990138	22.003444
Lakiala		Lak			Liikennepaikka	209+214	00212	Tampere–Seinäjoki	Ylöjärvi	K			K	61.625873	23.526965
Lamminkoski		Lmk			Liikennepaikka	268+785	01151	Tampere–Seinäjoki	Parkano	K				62.107789	23.061226
Lamminniemi		Lam			Liikennepaikka	636+664	00845	Kajaani–Lamminniemi	Kajaani			K	K	64.232062	27.702541
Lapinjärvi	Lappträsk	Lpj			Liikennepaikka	185+432	00108	Lahti–Loviisan satama	Lapinjärvi	M				60.599097	26.127856
Lapinlahti		Lna			Liikennepaikka	525+604	00416	Pieksämäki–Kontiomäki	Lapinlahti	K			K	63.360666	27.393552
Lappeenranta	Villmanstrand	Lr			Liikennepaikka	287+726	00495	Kouvola–Joensuu, Lappeenranta–Mustolan satama	Lappeenranta	K		K	K	61.047973	28.195304
Lappila		Laa			Seisake	97+693	00094	Riihimäki–Kouvola	Kärkölä					60.848954	25.17423
Lappohja	Lappvik	Lpo			Liikennepaikka	189+639	00075	Karjaa–Hanko	Hanko	K		K	K	59.904082	23.236919
Lapua	Lappo	Lpa			Liikennepaikka	441+094	00298	Seinäjoki–Oulu	Lapua	K		K	K	62.971338	23.015112
Larvakytö		Lyö			Liikennepaikka	333+057	01153	Tampere–Seinäjoki	Seinäjoki	K				62.680182	22.935915
Laukaa		Lau			Liikennepaikka	401+193	00249	Jyväskylä–Äänekoski	Laukaa	K				62.422807	25.924359
Laurila		Lla			Liikennepaikka	865+776	00360	Laurila–Kemijärvi, Oulu–Laurila, Laurila–Tornio-raja	Keminmaa	K				65.796833	24.534062
Lauritsala		Lrs			Liikennepaikka	291+936	00498	Kouvola–Joensuu	Lappeenranta	K		K	K	61.066415	28.259631
Leinelä	Lejle	Lnä			Seisake	31+123	01333	Huopalahti–Havukoski	Vantaa					60.322641	25.039419
Lentoasema	Flygplatsen	Len			Seisake	26+575	01332	Huopalahti–Havukoski	Vantaa					60.315732	24.968343
Lelkola		Lkl			Liikennepaikka	276+011	00993	Kouvola–Pieksämäki	Hirvensalmi	K				61.526751	26.966496
Lempäälä		Lpä			Liikennepaikka	165+928	00156	Riihimäki–Tampere	Lempäälä	K				61.314233	23.755094
Leppäkoski		Lk			Liikennepaikka	87+830	00043	Riihimäki–Tampere	Janakkala	K				60.87288	24.695884
Leppävaara	Alberga	Lpv			Liikennepaikka	11+249	00068	Helsinki–Turku satama	Espoo	K			K	60.21948	24.813541
Leteensuo		Lts			Liikennepaikka	123+554	01154	Riihimäki–Tampere	Hattula	K				61.065513	24.232505
Lieksa		Lis			Liikennepaikka	728+121	00468	Joensuu–Nurmes, Lieksa–Pankakoski	Lieksa	K		K	K	63.318195	30.016394
Lielahti		Llh			Liikennepaikka	193+393	00183	Tampere–Seinäjoki, Lielahti–Kokemäki	Tampere	K		K	K	61.510284	23.6817
Lievestuore		Lvt			Liikennepaikka	402+191	00246	Jyväskylä–Pieksämäki	Laukaa	K		K	K	62.259872	26.195893
Liminka	Limingo	Lka			Liikennepaikka	728+483	00338	Seinäjoki–Oulu	Liminka	K			K	64.810176	25.423892
Liminpuro		Lmp			Liikennepaikka	864+792	01354	Oulu–Kontiomäki	Vaala	K				64.538637	27.250167
Lohja	Lojo	Lo			Liikennepaikka	122+965	00081	Hyvinkää–Karjaa	Lohja	K			K	60.265369	24.116408
Loimaa		Lm			Liikennepaikka	208+870	00142	Toijala–Turku	Loimaa	K			K	60.847378	23.060408
Louhela	Klippsta	Loh			Seisake	13+190	00661	Huopalahti–Havukoski	Vantaa					60.270798	24.853299
Loukolampi		Lol			Liikennepaikka	360+013	00861	Kouvola–Pieksämäki	Pieksämäki	K				62.162673	27.203502
Loviisan satama	Lovisa hamn	Lvs			Liikennepaikka	207+209	00106	Lahti–Loviisan satama	Loviisa	M		K	K	60.418261	26.247612
Luikonlahti		Lui			Liikennepaikka	557+061	00411	Siilinjärvi–Viinijärvi	Kaavi	K				62.927654	28.6752
Lusto		Lus			Seisake	509+170	00690	Savonlinna–Parikkala	Savonlinna					61.800548	29.322269
Luumäki		Lä			Liikennepaikka	250+540	00487	Kouvola–Joensuu, Luumäki–Vainikkala-raja	Luumäki	K		K	K	60.944407	27.761801
Lähessuo		Lhs			Liikennepaikka	798+473	01364	Oulu–Laurila	Simo	K				65.400725	25.411155
Länkipohja		Läp			Liikennepaikka	256+024	00203	Tampere–Jyväskylä	Jämsä	K				61.740823	24.813105
Maanselkä		Mlk			Liikennepaikka	836+049	00382	Nurmes–Kontiomäki	Sotkamo	M				63.882203	28.499352
Maaria	St. Marie	Mri			Liikennepaikka	262+070	01166	Toijala–Turku	Turku	K				60.538524	22.365622
Madesjärvi		Md			Liikennepaikka	291+821	00217	Tampere–Seinäjoki	Kurikka	K				62.3116	22.987474
Majajärvi		Mjj			Liikennepaikka	216+317	01168	Tampere–Seinäjoki	Ylöjärvi	K				61.682946	23.469457
Maksniemi		Mkn			Liikennepaikka	845+521	01365	Oulu–Laurila	Ii	K				65.681839	24.810093
Malmi	Malm	Ml			Liikennepaikka	10+900	00017	Helsinki–Riihimäki	Helsinki	K				60.25166	25.011468
Malminkartano	Malmgård	Mlo			Seisake	10+730	00659	Huopalahti–Havukoski	Helsinki					60.249316	24.861283
Mankala		Mka			Liikennepaikka	160+050	01336	Riihimäki–Kouvola	Iitti	K				60.916315	26.182911
Markkala		Mrk			Liikennepaikka	403+737	00896	Pieksämäki–Kontiomäki	Suonenjoki	K				62.54004	27.190465
Martinlaakso	Mårtensdal	Mrl			Seisake	14+010	00662	Huopalahti–Havukoski	Vantaa	K				60.27808	24.852604
Masala	Masaby	Mas			Seisake	29+561	00064	Helsinki–Turku satama	Kirkkonummi					60.158661	24.539106
Matkaneva		Mtv			Liikennepaikka	562+607	01171	Seinäjoki–Oulu	Kokkola	K				63.84089	23.348859
Mattila		Mat			Liikennepaikka	159+906	01172	Riihimäki–Tampere	Lempäälä	K				61.261133	23.758953
Melalahti		Mll			Liikennepaikka	893+280	01355	Oulu–Kontiomäki	Paltamo	K				64.412901	27.659328
Metsäkansa		Msä			Linjavaihde	155+811	00558	Toijala–Valkeakoski	Valkeakoski					61.234303	23.884586
Mikkeli	St. Michel	Mi			Liikennepaikka	305+165	00546	Kouvola–Pieksämäki	Mikkeli	K		K	K	61.687818	27.277969
Misi		Mis			Liikennepaikka	1021+255	00366	Laurila–Kemijärvi	Rovaniemi	M			K	66.617923	26.687235
Mommila		Mla			Seisake	91+430	00093	Riihimäki–Kouvola	Hausjärvi					60.821177	25.075141
Muhos		Mh			Liikennepaikka	788+424	00375	Oulu–Kontiomäki	Muhos	K				64.805398	25.991997
Murtomäki		Mur			Liikennepaikka	613+165	00386	Pieksämäki–Kontiomäki, Murtomäki–Talvivaara,	Kajaani	K				64.064426	27.579581
Mustio	Svartå	Mso			Linjavaihde	143+000	00078	Hyvinkää–Karjaa	Raasepori					60.140408	23.868437
Mustolan satama		Mst			Liikennepaikka	295+515	00077	Lappeenranta–Mustolan satama	Lappeenranta			K		61.059167	28.312624
Muukko		Mko			Liikennepaikka	297+112	01180	Kouvola–Joensuu	Lappeenranta	K				61.088163	28.341566
Muurame		Muu			Liikennepaikka	324+768	00433	Tampere–Jyväskylä	Muurame	K				62.110893	25.651352
Muurola		Mul			Liikennepaikka	948+494	00363	Laurila–Kemijärvi	Rovaniemi	K				66.370875	25.37511
Myllykangas		Mys			Liikennepaikka	815+693	01183	Oulu–Laurila	Ii	K				65.535747	25.272566
Myllykoski		Mki			Seisake	203+630	00536	Kouvola–Kotka	Kouvola	K				60.771013	26.78669
Myllymäki		My			Seisake	333+721	00263	Orivesi–Seinäjoki	Ähtäri					62.524753	24.280965
Myllyoja		Myl			Liikennepaikka	161+727	00606	Lahti–Heinola	Heinola	K		K		61.16369	25.989681
Mynttilä		Myt			Liikennepaikka	270+889	00543	Kouvola–Pieksämäki, Mynttilä–Ristiina	Mäntyharju	K				61.487261	26.923895
Mynämäki		Myn			Liikennepaikka	229+607	00123	Turku–Uusikaupunki	Mynämäki	K				60.650417	21.964129
Myyrmäki	Myrbacka	Myr			Liikennepaikka	12+130	00660	Huopalahti–Havukoski	Vantaa	K				60.261327	24.854751
Mäkkylä		Mäk			Seisake	9+511	00693	Helsinki–Turku satama	Espoo					60.22131	24.842976
Mäntsälä		Mlä			Liikennepaikka	59+210	00027	Kerava–Hakosilta	Mäntsälä	K				60.647258	25.307475
Mäntyharju		Mr			Liikennepaikka	262+680	00544	Kouvola–Pieksämäki	Mäntyharju	K			K	61.421104	26.881746
Mäntyluoto		Mn			Liikennepaikka	342+020	00223	Pori–Mäntyluoto	Pori	K		K	K	61.58996	21.511964
Naantali	Nådendal	Nnl			Liikennepaikka	213+193	00124	Raisio–Naantali	Naantali			K	K	60.469929	22.040037
Naarajärvi		Nri			Liikennepaikka	449+862	00895	Jyväskylä–Pieksämäki	Pieksämäki	K			K	62.283143	27.045557
Nakkila		Nal			Liikennepaikka	308+091	00672	Kokemäki–Pori	Nakkila	K				61.387035	21.969594
Nastola		Nsl			Seisake	146+169	00595	Riihimäki–Kouvola	Lahti					60.935567	25.935467
Niemenpää		Nmp			Liikennepaikka	923+605	01185	Tornio–Kolari	Tornio	K				66.165558	23.92106
Niinimaa		Nii			Linjavaihde	383+155	00285	Orivesi–Seinäjoki	Alavus					62.642246	23.420637
Niinimäki		Nmä			Liikennepaikka	172+534	01324	Riihimäki–Kouvola	Iitti					60.877915	26.384374
Niinisalo		Nns			Liikennepaikka	386+215	00227	Niinisalo–Parkano	Kankaanpää	M		K	K	61.844661	22.481919
Niirala		Nrl			Liikennepaikka	555+846	00446	Niirala-raja–Säkäniemi	Tohmajärvi	M		K	K	62.175021	30.600268
Niirala-raja		Nrlr			Liikennepaikka	554+080	00445	Niirala-raja–Säkäniemi	Tohmajärvi					62.170426	30.632051
Niittylahti		Nth			Liikennepaikka	613+475	00917	Kouvola–Joensuu	Joensuu	K				62.51221	29.845911
Nikkilä	Nickby	Nlä			Seisake	39+176	00022	Kerava–Sköldvik	Sipoo					60.38237	25.26654
Niska		Nsk			Liikennepaikka	825+300	01353	Oulu–Kontiomäki	Utajärvi	K				64.637367	26.533759
Nivala		Nvl			Liikennepaikka	676+878	00328	Iisalmi–Ylivieska	Nivala	K			K	63.936389	24.960768
Nokia		Noa			Liikennepaikka	204+004	00181	Lielahti–Kokemäki	Nokia	K		K	K	61.481059	23.49917
Nummela		Nm			Liikennepaikka	109+368	00084	Hyvinkää–Karjaa	Vihti	K				60.328751	24.316922
Nuojua		Nua			Liikennepaikka	835+979	01361	Oulu–Kontiomäki	Vaala	K			K	64.563433	26.673271
Nurmes		Nrm			Liikennepaikka	784+420	00472	Nurmes–Kontiomäki, Joensuu–Nurmes	Nurmes	K		K	K	63.541078	29.137234
Ohenmäki		Ohm			Linjavaihde	542+264	01190	Pieksämäki–Kontiomäki	Iisalmi				K	63.496332	27.268163
Olli		Olli			Linjavaihde	45+734	00570	Kerava–Sköldvik, Olli–Porvoo	Porvoo	K				60.382804	25.374228
Orimattila		Om			Linjavaihde	150+407	00109	Lahti–Loviisan satama	Orimattila					60.814493	25.748738
Orivesi		Ov			Liikennepaikka	228+276	00190	Tampere–Jyväskylä, Orivesi–Seinäjoki	Orivesi	K			K	61.650095	24.368047
Orivesi keskusta		Ovk			Seisake	231+512	01316	Orivesi–Seinäjoki	Orivesi					61.673906	24.369838
Otanmäki		Otm			Liikennepaikka	638+822	00385	Murtomäki–Otanmäki	Kajaani			K		64.112027	27.092351
Otava		Ot			Liikennepaikka	290+521	00545	Kouvola–Pieksämäki, Otava–Otavan satama	Mikkeli	K			K	61.640827	27.071576
Oulainen		Ou			Liikennepaikka	657+850	00322	Seinäjoki–Oulu	Oulainen	K			K	64.269509	24.82098
OULU		Oul			Osiin jaettu liikennepaikka	–	–	Seinäjoki–Oulu, Oulu–Kontiomäki, Oulu–Laurila		M				#N/A	#N/A
Oulunlahti		Oll			Liikennepaikan osa (Oulu)	746+876	01351		Oulu	K				64.962428	25.504832
Oulu Nokela		Nok			Liikennepaikan osa (Oulu)	750+030	01195		Oulu			K	K	64.988959	25.476067
Oulu Oritkari		Ori			Liikennepaikan osa (Oulu)	751+180	01196		Oulu			K	K	64.98925	25.452448
Oulu tavara		Olt			Liikennepaikan osa (Oulu)	751+360	01197		Oulu			K	K	65.000913	25.470291
Oulu asema	Uleåborg	Ol	Oulu		Liikennepaikan osa (Oulu)	752+778	00370		Oulu				K	65.012409	25.486121
Oulu Tuira		Tua			Liikennepaikan osa (Oulu)	755+510	00339		Oulu			K	K	65.02871	25.474942
Paimio	Pemar	Po			Liikennepaikka	171+885	00128	Helsinki–Turku satama	Paimio	K				60.459453	22.685879
Palopuro		Plp			Liikennepaikka	54+535	00562	Helsinki–Riihimäki	Hyvinkää	K				60.601471	24.906231
Paltamo		Pto			Liikennepaikka	901+579	00379	Oulu–Kontiomäki	Paltamo	K				64.40061	27.82218
Parikkala		Par			Liikennepaikka	387+302	00510	Kouvola–Joensuu, Savonlinna–Parikkala	Parikkala	K			K	61.55855	29.502884
Parkano		Pko			Liikennepaikka	262+483	00215	Parkano–Niinisalo, Tampere–Seinäjoki	Parkano	K			K	62.051967	23.078439
Parola		Prl			Liikennepaikka	115+764	00049	Riihimäki–Tampere	Hattula	K		K	K	61.049922	24.366497
Patokangas		Ptg			Liikennepaikka	1064+591	01346	Kemijärvi–Patokangas	Kemijärvi			K		66.724902	27.519974
Pello		Pel			Liikennepaikka	1002+632	00356	Tornio–Kolari	Pello	K				66.78466	23.993374
Peltosalmi		Pmi			Linjavaihde	545+355	00882	Pieksämäki–Kontiomäki	Iisalmi			K		63.520846	27.246161
Peräseinäjoki		Psj			Liikennepaikka	318+481	00687	Tampere–Seinäjoki	Seinäjoki	K				62.549545	22.941988
Pesiökylä		Psk			Liikennepaikka	732+752	00393	Kontiomäki–Ämmänsaari	Suomussalmi	M			K	64.926213	28.569552
Petäjävesi		Pvi			Liikennepaikka	343+357	00237	Haapamäki–Jyväskylä	Petäjävesi	K			K	62.256974	25.189337
PIEKSÄMÄKI		Pie			Osiin jaettu liikennepaikka	–	–	Kouvola–Pieksämäki, Pieksämäki–Kontiomäki,	Pieksämäki	M				#N/A	#N/A
Pieksämäki asema		Pm	Pieksämäki		Liikennepaikan osa	376+000	00400		Pieksämäki			K	K	62.301253	27.16753
Pieksämäki Temu		Tmu			Liikennepaikan osa	377+340	01212		Pieksämäki			K	K	62.31317	27.169853
Pieksämäki lajittelu		Pmla			Liikennepaikan osa	378+640	01210		Pieksämäki			K	K	62.324528	27.175321
Pieksämäki tavara		Pmt			Liikennepaikan osa	379+960	01211		Pieksämäki			K	K	62.335855	27.182414
Pietarsaari	Jakobstad	Pts			Liikennepaikka	528+780	00306	Pännäinen–Pietarsaari, Pietarsaari–Alholma	Pietarsaari	M				63.674326	22.714689
Pihlajavesi		Ph			Liikennepaikka	312+500	00261	Orivesi–Seinäjoki	Keuruu	K				62.346234	24.395608
Pihtipudas		Pp			Liikennepaikka	540+605	00258	Äänekoski–Haapajärvi	Pihtipudas	M			K	63.371806	25.556278
Piikkiö	Pikis	Pik			Liikennepaikka	182+785	00127	Helsinki–Turku satama	Kaarina	K			K	60.423105	22.51586
Pikkarala		Pkl			Liikennepaikka	771+765	00819	Oulu–Kontiomäki	Oulu	K				64.912694	25.754062
Pitkämäki		Ptk			Liikennepaikka	789+619	01350	Nurmes–Kontiomäki	Nurmes	K		K		63.570689	29.060715
Pitkäkallio		Pio			Liikennepaikka	204+324	01358	Kouvola–Kotka	Kouvola	K				60.765446	26.792637
Pitäjänmäki	Sockenbacka	Pjm			Seisake	8+474	00069	Helsinki–Turku satama	Helsinki					60.223412	24.859649
Pohjankuru	Skuru	Pku			Liikennepaikka	94+907	00059	Helsinki–Turku satama	Raasepori	K		K	K	60.098215	23.551872
Pohjois-Haaga	Norra Haga	Poh			Seisake	8+050	00657	Huopalahti–Havukoski	Helsinki					60.230156	24.883319
Pohjois-Louko		Plu			Liikennepaikka	329+329	01214	Tampere–Seinäjoki	Seinäjoki	K				62.646837	22.941522
Poikkeus		Pkk			Liikennepaikka	254+744	01216	Tampere–Seinäjoki	Parkano	K				61.989112	23.137954
Poiksilta		Poi			Linjavaihde	416+728	00965	Kouvola–Joensuu	Kitee					61.790643	29.741895
Pori	Björneborg	Pri			Liikennepaikka	322+278	00220	Pori–Aittaluoto, Pori–Mäntyluoto, Kokemäki–Pori	Pori	K		K	K	61.477212	21.786607
Puhos		Pus			Liikennepaikka	452+808	00919	Kouvola–Joensuu	Kitee	K		K	K	62.088594	29.976082
Puistola	Parkstad	Pla			Seisake	14+050	00553	Helsinki–Riihimäki	Helsinki					60.276313	25.036683
Pukinmäki	Bocksbacka	Pmk			Seisake	9+442	00551	Helsinki–Riihimäki	Helsinki					60.242216	24.993288
Pulsa		Pl			Liikennepaikka	262+491	01217	Luumäki–Vainikkala-raja	Lappeenranta	K				60.927309	27.972716
Punkaharju		Pun			Liikennepaikka	515+111	00517	Savonlinna–Parikkala	Savonlinna	K		K	K	61.761151	29.382354
Pyhäkumpu		Pyk			Liikennepaikka	615+415	00757	Pyhäkumpu erkanemisvaihde– Pyhäkumpu	Pyhäjärvi			K		63.662046	26.042336
Pyhäkumpu erkanemisvaihde		Pye			Liikennepaikka	613+511	01218	Iisalmi–Ylivieska, Pyhäkumpu erkanemisvaihde– Pyhäkumpu	Pyhäjärvi	K				63.677555	26.030169
Pyhäsalmi		Phä			Liikennepaikka	615+934	00331	Iisalmi–Ylivieska	Pyhäjärvi	K			K	63.682935	25.982615
Pännäinen	Bennäs	Pnä	Pietarsaari-Pedersöre		Liikennepaikka	518+604	00305	Pännäinen–Pietarsaari, Seinäjoki–Oulu	Pedersören ku	K				63.595382	22.790363
Raahe	Brahestad	Rhe			Liikennepaikka	726+726	00335	Raahe–Rautaruukki, Tuomioja–Raahe	Raahe	K		K		64.683364	24.490632
Raippo		Rpo			Liikennepaikka	270+052	00490	Luumäki–Vainikkala-raja	Lappeenranta	K		K		60.912094	28.10607
Raisio	Reso	Rai			Liikennepaikka	207+829	00125	Turku–Uusikaupunki, Raisio–Naantali	Raisio	K		K	K	60.485475	22.130194
Rajamäki		Rm			Liikennepaikka	72+267	00088	Hyvinkää–Karjaa	Nurmijärvi				K	60.532706	24.761636
Rajaperkiö		Rjp			Liikennepaikka	448+396	01220	Seinäjoki–Oulu	Lapua	K				63.036254	23.013344
Rantasalmi		Rmi			Liikennepaikka	445+165	00524	Huutokoski–Savonlinna	Rantasalmi	K			K	62.014348	28.276594
Rasinsuo		Ras			Liikennepaikka	258+510	01222	Kouvola–Joensuu	Luumäki	K				60.97619	27.892136
Ratikylä		Rlä			Liikennepaikka	284+344	00596	Tampere–Seinäjoki	Kihniö	K				62.245426	23.011184
Rauha		Rah			Liikennepaikka	318+490	00501	Kouvola–Joensuu	Lappeenranta	K				61.178295	28.687578
Rauhalahti		Rhl			Linjavaihde	380+510	01225	Jyväskylä–Pieksämäki	Jyväskylä			K		62.239957	25.801006
Rauma	Raumo	Rma			Liikennepaikka	331+659	00165	Kokemäki–Rauma	Rauma	K		K	K	61.132361	21.492431
Raunio		Rio			Liikennepaikka	464+845	01227	Seinäjoki–Oulu	Kauhava	K				63.171521	22.955164
Rautaruukki		Rat			Liikennepaikka	730+050	00750	Raahe–Rautaruukki	Raahe			K	K	64.658708	24.443464
Rautjärvi		Rjä			Liikennepaikka	345+788	00506	Kouvola–Joensuu	Rautjärvi	K				61.300812	29.085136
Rautpohja		Rph			Linjavaihde	372+829	01232	Haapamäki–Jyväskylä	Jyväskylä			K		62.232539	25.690392
Rekola	Räckhals	Rkl			Seisake	20+615	00554	Helsinki–Riihimäki	Vantaa					60.332871	25.068666
Retretti		Ree			Seisake	507+500	00793	Savonlinna–Parikkala	Savonlinna					61.803308	29.294294
RIIHIMÄKI		Rii			Osiin jaettu liikennepaikka	–	–	Helsinki–Riihimäki, Riihimäki–Kouvola, Riihimäki–Tampere		K				#N/A	#N/A
Riihimäki Arolampi		Arp			Liikennepaikan osa	66+600	01235		Hausjärvi					60.697135	24.818591
Riihimäki tavara		Rit			Liikennepaikan osa	68+773	01240		Riihimäki			K	K	60.714716	24.802312
Riihimäki lajittelu		Rila			Liikennepaikan osa	70+068	01238		Riihimäki				K	60.725385	24.792909
Riihimäki asema		Ri	Riihimäki		Liikennepaikan osa	71+410	00040		Riihimäki			K	K	60.736078	24.781241
Riijärvi		Rjr			Liikennepaikka	502+567	01327	Seinäjoki–Oulu	Uusikaarlepyy	K				63.465864	22.66527
Riippa		Rpa			Liikennepaikka	577+477	00747	Seinäjoki–Oulu	Kokkola	K			K	63.868454	23.637151
Ristiina		Rst			Liikennepaikka	291+162	00770	Mynttilä–Ristiina	Mikkeli	M		K	K	61.461611	27.264338
Ristijärvi		Rjv			Liikennepaikka	676+804	00391	Kontiomäki–Ämmänsaari	Ristijärvi	K				64.488179	28.185498
Rovaniemi		Roi			Liikennepaikka	971+775	00364	Laurila–Kemijärvi	Rovaniemi	K		K	K	66.497675	25.705329
Ruha		Rha			Liikennepaikka	431+132	00742	Seinäjoki–Oulu	Lapua	K				62.887473	22.978534
Runni		Rnn			Seisake	568+518	00886	Iisalmi–Ylivieska	Iisalmi					63.602052	26.886487
Ruukki		Rki			Liikennepaikka	705+228	00337	Seinäjoki–Oulu	Siikajoki	K			K	64.660373	25.0982
Ruusumäki		Rsm			Liikennepaikka	20+282	01338	Huopalahti–Havukoski	Vantaa	K				60.31566	24.878314
Ryttylä		Ry			Liikennepaikka	80+770	00042	Riihimäki–Tampere	Hausjärvi	K		K	K	60.818048	24.758186
Röyttä		Röy			Liikennepaikka	893+917	00833	Tornio–Röyttä	Tornio			K	K	65.765795	24.162896
Saakoski		Saa			Liikennepaikka	305+373	00668	Tampere–Jyväskylä	Jyväskylä	K				61.990369	25.410596
Saari		Sr			Liikennepaikka	405+246	00964	Kouvola–Joensuu	Parikkala	K			K	61.695058	29.660865
Saarijärvi		Srj			Liikennepaikka	452+723	00254	Äänekoski–Haapajärvi	Saarijärvi	M			K	62.700076	25.283095
Salminen		Sln			Liikennepaikka	426+718	00405	Pieksämäki–Kontiomäki, Pieksämäki–Kontiomäki	Suonenjoki	K			K	62.676239	27.286121
Salo		Slo			Liikennepaikka	143+981	00055	Helsinki–Turku satama	Salo	K			K	60.384777	23.121448
Sammalisto		Sam			Liikennepaikka	74+487	01246	Riihimäki–Tampere	Riihimäki	K				60.763711	24.78372
Santala	Sandö	Sta			Seisake	196+908	00827	Karjaa–Hanko	Hanko					59.875008	23.121052
Saunamäki		Smä			Liikennepaikka	180+534	01325	Riihimäki–Kouvola	Iitti					60.852337	26.519052
Savio		Sav			Seisake	26+265	00555	Helsinki–Riihimäki	Kerava					60.381296	25.097803
SAVONLINNA		Svl			Osiin jaettu liikennepaikka	–	–	Savonlinna–Parikkala, Huutokoski–Savonlinna						#N/A	#N/A
Savonlinna asema	Nyslott	Sl	Savonlinna		Liikennepaikan osa	482+797	00521		Savonlinna	K				61.8689	28.888266
Pääskylahti		Pky			Liikennepaikan osa	484+913	00519		Savonlinna	K			K	61.862291	28.924534
SEINÄJOKI		Sei			Osiin jaettu liikennepaikka	–	–	Tampere–Seinäjoki, Seinäjoki–Oulu, Orivesi–Seinäjoki,		M				#N/A	#N/A
Seinäjoki tavara		Skt			Liikennepaikan osa	416+580	01252		Seinäjoki			K	K	62.784847	22.866289
Seinäjoki asema		Sk	Seinäjoki		Liikennepaikan osa	418+001	00280		Seinäjoki			K	K	62.792016	22.844217
Seinäjoki Rahkola		Rla			Liikennepaikan osa	412+612	01362		Seinäjoki	K			K	62.762843	22.9254
Selänpää		Spä			Liikennepaikka	209+869	00539	Kouvola–Pieksämäki	Kouvola	K				61.007729	26.714088
Sieppijärvi		Spj			Liikennepaikka	1045+904	00796	Tornio–Kolari	Kolari	K				67.159514	23.867383
Sievi		Svi			Liikennepaikka	613+371	00319	Seinäjoki–Oulu	Sievi	K				63.978137	24.278697
Siikamäki		Skä			Liikennepaikka	389+747	00429	Pieksämäki–Joensuu	Pieksämäki	K				62.289158	27.40773
SIILINJÄRVI		Sii			Osiin jaettu liikennepaikka	–	–	Siilinjärvi–Viinijärvi, Pieksämäki–Kontiomäki		K				#N/A	#N/A
Siilinjärvi asema		Sij			Liikennepaikan osa	489+718	00413		Siilinjärvi	K		K	K	63.074953	27.666561
Ruokosuo		Rsu			Liikennepaikan osa	494+735	01342		Siilinjärvi	K		K		63.09744	27.740113
Simo		Sim			Liikennepaikka	833+715	00346	Oulu–Laurila	Simo	K				65.663135	25.060752
Simpele		Spl			Liikennepaikka	368+317	00507	Kouvola–Joensuu	Rautjärvi	K		K	K	61.424787	29.371696
Sipilä		Sip			Liikennepaikka	68+697	01254	Kerava–Hakosilta, Kerava–Hakosilta	Mäntsälä	K				60.711122	25.420346
Sisättö		Stö			Liikennepaikka	235+602	01257	Tampere–Seinäjoki	Ikaalinen	K				61.838125	23.310976
Siuntio	Sjundeå	Sti			Liikennepaikka	51+285	00576	Helsinki–Turku satama	Siuntio	K				60.140648	24.221671
Siuro		Siu			Liikennepaikka	213+355	00179	Lielahti–Kokemäki	Nokia	K			K	61.47445	23.33911
Skogby		Sgy			Seisake	184+680	00817	Karjaa–Hanko	Raasepori					59.926668	23.312403
Sköldvik	Kilpilahti	Sld			Liikennepaikka	56+360	00560	Kerava–Sköldvik	Porvoo	M		K	K	60.305964	25.481846
Soinlahti		Soa			Linjavaihde	559+651	00422	Pieksämäki–Kontiomäki	Iisalmi			K	K	63.634206	27.204458
Sorsasalo		Sor			Linjavaihde	473+754	00870	Pieksämäki–Kontiomäki	Kuopio			K		62.953371	27.68315
Sukeva		Skv			Liikennepaikka	589+222	00424	Pieksämäki–Kontiomäki	Sonkajärvi	K			K	63.864618	27.422313
Suolahti		Suo			Liikennepaikka	417+796	00251	Jyväskylä–Äänekoski	Äänekoski	K		K	K	62.561352	25.851545
Suonenjoki		Snj			Liikennepaikka	413+842	00404	Pieksämäki–Kontiomäki, Suonenjoki–Yläkoski	Suonenjoki	K			K	62.623707	27.124495
Suoniemi		Snm			Liikennepaikka	220+655	00638	Lielahti–Kokemäki	Nokia	K				61.465246	23.210006
Syrjä		Syr			Linjavaihde	452+865	00435	Pieksämäki–Joensuu	Heinävesi					62.356168	28.366542
Syrjämäki		Ski			Liikennepaikka	341+621	01265	Tampere–Seinäjoki	Seinäjoki	K				62.756156	22.912391
Sysmäjärvi		Smj			Liikennepaikka	669+601	00912	Sysmäjärvi–Vuonos, Siilinjärvi–Viinijärvi	Outokumpu	K		K	K	62.716898	29.060797
Säkäniemi		Sä			Liikennepaikka	480+242	00918	Niirala-raja–Säkäniemi, Kouvola–Joensuu	Tohmajärvi	K				62.317676	30.120915
Sänkimäki		Skm			Linjavaihde	504+931	00872	Siilinjärvi–Viinijärvi	Kuopio					63.15085	27.874879
Sääksjärvi		Sj			Liikennepaikka	177+734	00157	Riihimäki–Tampere	Tampere	K				61.418654	23.752219
Taavetti		Ta			Liikennepaikka	238+589	00486	Kouvola–Joensuu	Luumäki	K		K	K	60.913077	27.559584
Tahkoluoto		Tko			Liikennepaikka	350+235	00702	Pori–Mäntyluoto	Pori			K		61.633918	21.417336
